FIN_GBR FIN_TSI FIN_YRI GBR_TSI GBR_YRI TSI_YRI
ENSG00000096746 0.0091890386155478 0.00774161423096495 0.145845372603128 0 0.135064723732908 0.157199687788563
ENSG00000151532 0 0 0.17478445136061 0 0.170827309350957 0.157760788005835
ENSG00000169740 0 0 0.0355939305769449 0 0.0176140777740553 0.0194790402424137
ENSG00000269948 0.000565709696491914 0 0.0432292827046742 0 0.0752905031742325 0.0586142107124652
ENSG00000166343 0 0 0.167131412236396 0 0.156537165107256 0.143787830413565
ENSG00000152726 0 0 0.0797660383348336 0 0.0741541844830634 0.0807202095248277
ENSG00000099204 0.00111861970305059 0 0.173412963102461 0 0.183432207991535 0.158171874832002
ENSG00000180644 0 0.0171547074210459 0.162119711234571 0 0.153883554108795 0.157777221015307
ENSG00000169813 0 0 0.28118033720587 0 0.302525098875909 0.257324079244376
ENSG00000023839 0 0.00991941238182923 0.0357422956761952 0 0.0311807285666597 0.0384797850444356
ENSG00000188234 0 0.00406202456029658 0.0281279833798552 0 0.0298357965354605 0.035161653400658
ENSG00000138346 0.00913191484627693 0.00317852271329153 0.124266647427099 0 0.162649834118518 0.154021294634194
ENSG00000165476 0 0 0.087372489275417 0 0.105018412568597 0.111616651114711
ENSG00000108064 0.00254520120757493 0.017697320014634 0.220522877273223 0.0335037159617683 0.269497831510405 0.140439841233475
ENSG00000108061 0.00412641244113956 0 0.236650048224126 0 0.167114660449299 0.189560437303766
ENSG00000165879 0 0 0.077085211959315 0 0.114776029034873 0.119336457681253
ENSG00000067082 0.00968801217999749 0.0393525095433377 0.1262038278995 0.00795897469043318 0.151256004791982 0.162435689704828
ENSG00000204176 0 0 0.0524935765950972 0 0.0519695796632198 0.0568527106875911
ENSG00000119912 0 0.00315838014379836 0.130011159330531 0 0.129578958557818 0.134092798532244
ENSG00000119917 0 0 0.153574351207784 0 0.157224996929521 0.1288840977101
ENSG00000148688 0 0.0094442412180239 0.300419060621578 0.0148099595108799 0.325294787478985 0.211334813613944
ENSG00000148444 0.0051020408163171 0.00529351666294073 0.295496832377794 0.0355014895730235 0.311866326819037 0.265180342746373
ENSG00000155629 0 0.0156754923244406 0.138211363289173 0.00125898815119321 0.133924506336076 0.104925230964163
ENSG00000120594 0 0.0048100091821251 0.126803380060858 0.0025665157457695 0.135290607680697 0.147815033753273
ENSG00000107562 0 0.00840133378519611 0.164125617855705 0.00487525171646017 0.13757745191901 0.115612088871613
ENSG00000107560 0.00732575114405278 0.0138282876867478 0.278877232234721 0 0.274460310778582 0.260604631059148
